Estado,Fecha,Positivos,Defunciones
Aguascalientes,2020-11-07,19.0,10.0
Aguascalientes,2020-11-08,5.0,9.0
Aguascalientes,2020-11-09,18.0,8.0
Aguascalientes,2020-11-10,7.0,8.0
Aguascalientes,2020-11-11,1.0,8.0
Aguascalientes,2020-11-12,0.0,15.0
Aguascalientes,2020-11-13,1.0,4.0
Aguascalientes,2020-11-14,0.0,7.0
Aguascalientes,2020-11-15,1.0,2.0
Aguascalientes,2020-11-16,0.0,3.0
Aguascalientes,2020-11-17,0.0,1.0
Aguascalientes,2020-11-18,0.0,0.0
Aguascalientes,2020-11-19,0.0,0.0
Baja California,2020-01-13,0.0,0.0
Baja California,2020-01-14,0.0,0.0
Baja California,2020-01-15,0.0,0.0
Baja California,2020-01-16,0.0,0.0
Baja California,2020-01-17,0.0,0.0
Baja California,2020-01-18,0.0,0.0
Baja California,2020-01-19,0.0,0.0
Baja California,2020-01-20,0.0,0.0
Baja California,2020-01-21,0.0,0.0
Baja California,2020-01-22,0.0,0.0
Baja California,2020-01-23,0.0,0.0
Baja California,2020-01-24,0.0,0.0
Baja California,2020-01-25,0.0,0.0
Baja California,2020-01-26,0.0,0.0
Baja California,2020-01-27,0.0,0.0
Baja California,2020-01-28,0.0,0.0
Baja California,2020-01-29,0.0,0.0
Baja California,2020-01-30,0.0,0.0
Baja California,2020-01-31,0.0,0.0
Baja California,2020-02-01,0.0,0.0
Baja California,2020-02-02,0.0,0.0
Baja California,2020-02-03,0.0,0.0
Baja California,2020-02-04,0.0,0.0
Baja California,2020-02-05,0.0,0.0
Baja California,2020-02-06,0.0,0.0
Baja California,2020-02-07,0.0,0.0
Baja California,2020-02-08,0.0,0.0
Baja California,2020-02-09,0.0,0.0
Baja California,2020-02-10,0.0,0.0
Baja California,2020-02-11,0.0,0.0
Baja California,2020-02-12,0.0,0.0
Baja California,2020-02-13,0.0,0.0
Baja California,2020-02-14,0.0,0.0
Baja California,2020-02-15,0.0,0.0
Baja California,2020-02-16,0.0,0.0
Baja California,2020-02-17,0.0,0.0
Baja California,2020-02-18,0.0,0.0
Baja California,2020-02-19,0.0,0.0
Baja California,2020-02-20,0.0,0.0
Baja California,2020-02-21,0.0,0.0
Baja California,2020-02-22,0.0,0.0
Baja California,2020-02-23,0.0,0.0
Baja California,2020-02-24,0.0,0.0
Baja California,2020-02-25,0.0,0.0
Baja California,2020-02-26,0.0,0.0
Baja California,2020-02-27,0.0,0.0
Baja California,2020-02-28,0.0,0.0
Baja California,2020-02-29,0.0,0.0
Baja California,2020-03-01,1.0,0.0
Baja California,2020-03-02,0.0,0.0
Baja California,2020-03-03,0.0,0.0
Baja California,2020-03-04,0.0,0.0
Baja California,2020-03-05,0.0,0.0
Baja California,2020-03-06,0.0,0.0
Baja California,2020-03-07,0.0,0.0
Baja California,2020-03-08,0.0,0.0
Baja California,2020-03-09,1.0,0.0
Baja California,2020-03-10,0.0,0.0
Baja California,2020-03-11,2.0,0.0
Baja California,2020-03-12,2.0,0.0
Baja California,2020-03-13,4.0,0.0
Baja California,2020-03-14,3.0,0.0
Baja California,2020-03-15,3.0,0.0
Baja California,2020-03-16,5.0,0.0
Baja California,2020-03-17,5.0,0.0
Baja California,2020-03-18,11.0,0.0
Baja California,2020-03-19,10.0,0.0
Baja California,2020-03-20,15.0,0.0
Baja California,2020-03-21,6.0,0.0
Baja California,2020-03-22,6.0,0.0
Baja California,2020-03-23,18.0,0.0
Baja California,2020-03-24,20.0,0.0
Baja California,2020-03-25,20.0,0.0
Baja California,2020-03-26,24.0,0.0
Baja California,2020-03-27,27.0,0.0
Baja California,2020-03-28,25.0,0.0
Baja California,2020-03-29,37.0,1.0
Baja California,2020-03-30,42.0,2.0
Baja California,2020-03-31,33.0,2.0
Baja California,2020-04-01,53.0,2.0
Baja California,2020-04-02,65.0,5.0
Baja California,2020-04-03,49.0,2.0
Baja California,2020-04-04,52.0,5.0
Baja California,2020-04-05,44.0,1.0
Baja California,2020-04-06,55.0,10.0
Baja California,2020-04-07,53.0,5.0
Baja California,2020-04-08,77.0,6.0
Baja California,2020-04-09,83.0,5.0
Baja California,2020-04-10,112.0,7.0
Baja California,2020-04-11,77.0,10.0
Baja California,2020-04-12,90.0,12.0
Baja California,2020-04-13,72.0,8.0
Baja California,2020-04-14,88.0,12.0
Baja California,2020-04-15,78.0,17.0
Baja California,2020-04-16,71.0,11.0
Baja California,2020-04-17,93.0,20.0
Baja California,2020-04-18,82.0,16.0
Baja California,2020-04-19,94.0,16.0
Baja California,2020-04-20,121.0,14.0
Baja California,2020-04-21,78.0,15.0
Baja California,2020-04-22,103.0,18.0
Baja California,2020-04-23,72.0,19.0
Baja California,2020-04-24,73.0,24.0
Baja California,2020-04-25,97.0,18.0
Baja California,2020-04-26,96.0,18.0
Baja California,2020-04-27,92.0,28.0
Baja California,2020-04-28,90.0,21.0
Baja California,2020-04-29,71.0,29.0
Baja California,2020-04-30,112.0,22.0
Baja California,2020-05-01,161.0,23.0
Baja California,2020-05-02,130.0,26.0
Baja California,2020-05-03,96.0,14.0
Baja California,2020-05-04,110.0,30.0
Baja California,2020-05-05,99.0,31.0
Baja California,2020-05-06,113.0,28.0
Baja California,2020-05-07,108.0,26.0
Baja California,2020-05-08,145.0,34.0
Baja California,2020-05-09,97.0,36.0
Baja California,2020-05-10,150.0,28.0
Baja California,2020-05-11,118.0,31.0
Baja California,2020-05-12,121.0,29.0
Baja California,2020-05-13,126.0,38.0
Baja California,2020-05-14,107.0,36.0
Baja California,2020-05-15,185.0,27.0
Baja California,2020-05-16,112.0,31.0
Baja California,2020-05-17,123.0,40.0
Baja California,2020-05-18,165.0,52.0
Baja California,2020-05-19,141.0,33.0
Baja California,2020-05-20,158.0,41.0
Baja California,2020-05-21,161.0,21.0
Baja California,2020-05-22,156.0,26.0
Baja California,2020-05-23,105.0,28.0
Baja California,2020-05-24,120.0,32.0
Baja California,2020-05-25,135.0,32.0
Baja California,2020-05-26,107.0,31.0
Baja California,2020-05-27,110.0,29.0
Baja California,2020-05-28,119.0,37.0
Baja California,2020-05-29,108.0,18.0
Baja California,2020-05-30,99.0,33.0
Baja California,2020-05-31,130.0,29.0
Baja California,2020-06-01,168.0,32.0
Baja California,2020-06-02,132.0,29.0
Baja California,2020-06-03,131.0,25.0
Baja California,2020-06-04,112.0,28.0
Baja California,2020-06-05,155.0,26.0
Baja California,2020-06-06,139.0,39.0
Baja California,2020-06-07,130.0,28.0
Baja California,2020-06-08,153.0,30.0
Baja California,2020-06-09,164.0,18.0
Baja California,2020-06-10,161.0,30.0
Baja California,2020-06-11,127.0,22.0
Baja California,2020-06-12,145.0,32.0
Baja California,2020-06-13,122.0,27.0
Baja California,2020-06-14,130.0,31.0
Baja California,2020-06-15,208.0,22.0
Baja California,2020-06-16,142.0,18.0
Baja California,2020-06-17,155.0,30.0
Baja California,2020-06-18,117.0,24.0
Baja California,2020-06-19,157.0,24.0
Baja California,2020-06-20,218.0,13.0
Baja California,2020-06-21,140.0,19.0
Baja California,2020-06-22,137.0,23.0
Baja California,2020-06-23,178.0,24.0
Baja California,2020-06-24,142.0,24.0
Baja California,2020-06-25,185.0,25.0
Baja California,2020-06-26,155.0,25.0
Baja California,2020-06-27,131.0,20.0
Baja California,2020-06-28,130.0,16.0
Baja California,2020-06-29,181.0,29.0
Baja California,2020-06-30,193.0,31.0
Baja California,2020-07-01,203.0,22.0
Baja California,2020-07-02,131.0,25.0
Baja California,2020-07-03,152.0,27.0
Baja California,2020-07-04,121.0,27.0
Baja California,2020-07-05,181.0,36.0
Baja California,2020-07-06,155.0,43.0
Baja California,2020-07-07,161.0,28.0
Baja California,2020-07-08,197.0,23.0
Baja California,2020-07-09,127.0,23.0
Baja California,2020-07-10,154.0,30.0
Baja California,2020-07-11,134.0,27.0
Baja California,2020-07-12,123.0,24.0
Baja California,2020-07-13,139.0,18.0
Baja California,2020-07-14,127.0,21.0
Baja California,2020-07-15,160.0,9.0
